"Tree","Model","Pattern_K","Pattern_Lambda","Pattern_MoransI","Pattern_mpnns","Pattern_mean_offdiag_cor","Pattern_max_offdiag_cor","Pattern_ess_1","Pattern_ess_2","Clustered_Mean_K","Random_Mean_K","Dispersed_Mean_K","Clustered_Mean_Lambda","Random_Mean_Lambda","Dispersed_Mean_Lambda","Clustered_Mean_MoransI","Random_Mean_MoransI","Dispersed_Mean_MoransI","Clustered_Mean_mpnns","Random_Mean_mpnns","Dispersed_Mean_mpnns","Clustered_Mean_mean_offdiag_cor","Random_Mean_mean_offdiag_cor","Dispersed_Mean_mean_offdiag_cor","Clustered_Mean_max_offdiag_cor","Random_Mean_max_offdiag_cor","Dispersed_Mean_max_offdiag_cor","Clustered_Mean_ess_1","Random_Mean_ess_1","Dispersed_Mean_ess_1","Clustered_Mean_ess_2","Random_Mean_ess_2","Dispersed_Mean_ess_2"
"large_balanced","Lambda1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.882471966820849,1.21910818768043,1.19585311145661,0.999926686256414,0.92282188210715,0.999926686256414,0.0927497879989877,0.0510348636217241,-0.00873001121435715,0.485740665156172,0.412867108277671,0.366032234047507,0.354733733674586,0.170192343783135,0.137694211281984,0.888888888888889,0.831498132650424,0.5,2.53124265141389,4.56514890489423,5.21952478073952,3.85975931282074,8.25548184165261,10.8283612464268
"large_balanced","Lambda0.7",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.49339288542801,1.48647104110162,1.2381489416765,0.999926686256414,0.978886717410656,0.999926686256414,0.194465532723152,0.0669495987549211,-0.00935563944831519,0.526254588840376,0.409026585922502,0.349270853403926,0.356335990333878,0.20394430962764,0.203030293546239,0.888888888888889,0.829215123616891,0.648896293211162,2.52165476744344,4.00282702014451,3.95505631885734,3.84833890198005,7.22956039168938,8.10123086703863
"large_balanced","Lambda0.5",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.311656765908118,1.19904452316566,1.1825426097617,7.33137435857406e-05,0.947617238982607,0.999926686256414,-0.0852731350281818,0.0368945828891819,-0.0349539309477439,0.540710380368258,0.45807376989638,0.418004839917,0.357124852412932,0.21671080730437,0.225153535148715,0.888888888888889,0.829270097250139,0.69418794133623,2.51696086081024,3.82549180123054,3.65521872725414,3.84257227051959,6.86658050169095,7.32449856335565
"large_balanced","OU_alpha0.2",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.710526282791939,0.704985030973767,0.837272925672998,0.999926686256414,0.39043500842189,7.33137435857406e-05,0.0635196069884959,-0.0293714285765593,-0.0656413406265934,0.465732832769757,0.480633767818844,0.480145041556786,0.17672366014596,0.0342299334705294,0.00914771799552211,0.661058913872302,0.497790412206636,0.0573241758988687,4.38253516742199,10.6232589176755,14.0694496357055,8.37296602152374,14.5510037400235,15.9468531557721
"large_balanced","OU_alpha1",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.835527878317981,0.638584534317372,0.827986426632264,0.999926686256414,0.180737159161846,7.33137435857406e-05,0.0347756225279028,-0.0539295271695158,-0.0674609860556381,0.742647581306214,0.616940243213922,0.695151548107366,0.00943445565702945,0.0006878625919741,3.23200416931846e-08,0.135335270067786,0.0559088365861953,8.31528027664132e-07,14.0164380510658,15.8380384729199,15.9999922431938,15.8225136008877,15.9862501300561,15.9999999999965
"large_balanced","OU_alpha5",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.410263218448938,0.605390349229326,0.97434229821455,0.213246505383902,0.150819496168717,7.33137435857406e-05,-0.0283298055265287,-0.0667669314435559,-0.0466943458789528,0.81814091939584,0.765153724637789,0.796655884876377,1.52630126170923e-06,1.17586381125532e-07,6.69377848235484e-33,4.53999297624848e-05,1.2702084259934e-05,3.97544973590865e-31,15.9996336960835,15.9999717794621,16,15.9999999835098,15.9999999987303,16
"large_ladder","Lambda1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.670709993604002,0.392748614158652,0.253949950089607,0.747381571637426,0.898367331095208,0.56625292053078,0.0184087507305476,0.242812858184331,0.0295979360376362,0.447843323583199,0.418928101412199,0.41978618065246,0.515607670860375,0.576948542878428,0.566547747579441,0.9096392352493,0.987079378881659,0.966502964751829,1.83189709372539,1.66990213630284,1.68452682483013,2.60172393771879,2.18597975909085,2.2500193967759
"large_ladder","Lambda0.7",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.248771552959847,1.85685406372652,1.0535379065407,0.749503886324899,0.993178124507198,0.999926686256414,0.00359000259195609,0.554881637016425,0.516157426064186,0.512591616551796,0.421917258555659,0.313096423341113,0.514172164868266,0.566581132115165,0.556138133566242,0.914828045436155,0.973298787347214,0.961779583552748,1.83642451013111,1.69430010441767,1.7126821538109,2.61690191485249,2.2557758044886,2.3159278148043
"large_ladder","Lambda0.5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.726216017903761,0.618880585959474,1.20678935540983,0.999926686256414,0.946516532103199,0.970664588742706,0.0705299873470508,0.320275264967159,0.315251783248786,0.488341588565168,0.433433467621587,0.307741514743713,0.513555274684907,0.561403364217992,0.551155697019032,0.917185572112305,0.967251543906705,0.959313328587196,1.83837699102168,1.70684353111203,1.72649410148142,2.62344824683851,2.2907143761011,2.3488121285563
"large_ladder","OU_alpha0.2",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.660126060288021,0.0949266404951659,0.0716731184195576,0.999926686256414,0.508073049423765,0.0514287540097416,0.000579406405443335,0.0214433162566854,-0.0922109173557438,0.581661664931134,0.485817587368097,0.449235129445062,0.231359521015922,0.0222123267861193,0.00386003881305376,0.646522707845958,0.508272549202372,0.0473279567877752,3.57910381957009,12.0732102539262,15.1242945407875,6.95016833335685,14.5229273797654,15.96493518824
"large_ladder","OU_alpha1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.712640740985739,0.0755293288298864,0.05595742443908,0.991747576037202,0.460799110549202,7.33137435857406e-05,-0.025561896282803,-0.0653698088554008,-0.147344335083692,0.669732140824584,0.609307564756855,0.574920429183183,0.0122708036914668,0.000660555344617814,1.12007734167655e-08,0.121296364174594,0.0434244687212413,2.37459078954268e-07,13.5128052853389,15.8438598266228,15.9999973118148,15.8304835983059,15.9925996376485,15.9999999999996
"large_ladder","OU_alpha5",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.402386707819574,0.0699706321300603,0.0821443438358857,0.999926686256414,0.435719148879811,0.39736504217299,-0.0387766996899638,-0.0716130696364725,-0.0510136410858244,0.819174382575082,0.772511282191179,0.810913033210499,5.37734031649309e-07,1.5401365084331e-08,1.2034334708968e-35,2.62566653869337e-05,1.70127780992486e-06,7.5499468576428e-34,15.9998709448734,15.9999963036846,16,15.9999999975521,15.9999999999127,16
